1602	Bronze Bastard Sword	青铜手半剑
1603	Viking Sword	青铜维京剑
1604	Ash Macuahuitl	梣木石刃棒
1605	Bronze Spatha	青铜骑兵剑
1607	Brass Bastard Sword	黄铜手半剑
1609	Brass Viking Sword	黄铜维京剑
1611	Carnage Sword	残戮剑
1614	Iron Shortsword	黑铁短剑
1622	Iron Spatha	黑铁骑兵剑
1625	Steel Broadsword	白钢宽刃剑
1627	Elm Macuahuitl	榆木石刃棒
1633	Steel Falchion	白钢弯刃刀
1635	Vintage Bastard Sword	古典手半剑
1637	Walnut Macuahuitl	胡桃石刃棒
1639	Steel Longsword	白钢长剑
1642	Goblin Scimitar	哥布林弯刀
1643	Mythril Broadsword	秘银宽刃剑
1648	Vintage Viking Sword	古典维京剑
1649	Goblin Longsword	哥布林长剑
1650	Plumed Oak Macuahuitl	白羽橡木石刃棒
1657	Cobalt Katzbalger	钴铁斗剑
1659	Cobalt Shamshir	钴铁赛施尔长刀
1663	Cobalt Winglet	钴铁翼剑
1666	Giantsgall Longsword	巨胆长剑
1670	Aeolian Scimitar	神风弯刀
1673	Mailbreaker	破甲锋
1681	Bone Hora	兽骨骨拳
1682	Leather Himantes	鞣革护拳
1683	Ramhorn Claws	牡羊角爪
1684	Bronze Knuckles	青铜指虎
1685	Hard Leather Himantes	硬革护拳
1686	Brass Knuckles	黄铜指虎
1688	Goatskin Cesti	硬革钢拳
1694	Spiked Knuckles	铁甲指虎
1697	Toadskin Cesti	蟾蜍钢拳
1699	Steel Claws	白钢爪
1706	Crabshell Hora	蟹甲骨拳
1708	Boarskin Himantes	野猪护拳
1711	Mythril Claws	秘银爪
1716	Tortoiseshell Hora	龟甲骨拳
1723	Cobalt Knuckles	钴铁指虎
1728	Peisteskin Cesti	毒蜥蜴革钢拳
1732	Vintage Hora	古典骨拳
1733	Cobalt Claws	钴铁爪
1736	Giantsgall Claws	巨胆利爪
1740	Wildling's Cesti	野性钢拳
1743	Avengers	复仇烈拳
1750	Bronze War Axe	青铜战斧
1751	Bronze Labrys	青铜双刃斧
1752	Cloud Axe	阴云战斧
1753	Spiked Bronze Labrys	青铜刺柄双刃斧
1754	Iron War Axe	黑铁战斧
1756	Iron Labrys	黑铁双刃斧
1758	Inferno Axe	业火战斧
1764	Iron Bill	黑铁钩斧
1766	Thunderstorm Axe	雷暴战斧
1769	Spiked Steel Labrys	白钢刺柄双刃斧
1776	Steel Bardiche	白钢巨斧
1778	Steel Bhuj	白钢长刃斧
1781	Spiked Mythril Labrys	秘银刺柄双刃斧
1786	Mythril Bhuj	秘银长刃斧
1796	Buccaneer's Bardiche	海盗巨斧
1800	Vintage Bill	古典钩斧
1801	Demilune Bhuj	半月长刃斧
1803	Spiked Cobalt Labrys	钴铁刺柄双刃斧
1806	Giantsgall War Axe	巨胆战斧
1810	Barbarian's Bardiche	野蛮巨斧
1813	Rampager	暴怒震斧
1820	Bone Harpoon	兽骨渔枪
1821	Bronze Spear	青铜长枪
1822	Ramhorn Harpoon	牡羊角渔枪
1823	Feathered Harpoon	犬牙渔枪
1824	Brass Spear	黄铜长枪
1825	Iron Spear	黑铁长枪
1827	Iron Lance	黑铁骑枪
1833	Iron Guisarme	黑铁战戈
1836	Silver Battle Fork	白银战叉
1838	Steel Halberd	黑铁战戟
1845	Steel Spear	白钢长枪
1847	Heavy Steel Lance	白钢重骑枪
1850	Yarzonshell Harpoon	蟹甲渔枪
1855	Mythril Lance	秘银骑枪
1862	Cobalt Halberd	钴铁战戟
1867	Cobalt Trident	三尖枪
1871	Vintage Guisarme	古典战戈
1872	Hart Guisarme	雄鹿战戈
1875	Giantsgall Trident	巨胆三尖枪
1879	Champion's Lance	冠军骑枪
1882	Obelisk	方尖枪
1891	Maple Shortbow	枫木短弓
1892	Maple Longbow	枫木长弓
1893	Plumed Maple Shortbow	白羽枫木短弓
1894	Wrapped Maple Longbow	革装枫木长弓
1895	Ash Shortbow	梣木短弓
1897	Elm Longbow	榆木长弓
1899	Elm Velocity Bow	高速榆木短弓
1905	Wrapped Elm Longbow	革装榆木长弓
1908	Ash Composite Bow	梣木复合弓
1915	Ash Cavalry Bow	梣木骑兵弓
1917	Oak Longbow	橡木长弓
1920	Mythril Cavalry Bow	秘银骑兵弓
1925	Oak Composite Bow	橡木复合弓
1932	Cobalt Cavalry Bow	钴铁骑兵弓
1937	Yew Longbow	紫杉长弓
1941	Vintage Bow	古典战弓
1942	Crab Bow	蟹甲战弓
1945	Giantsgall Longbow	巨胆长弓
1949	Longarm's Composite Bow	长臂复合弓
1953	Sarnga	萨伦伽光弓
1958	Maple Wand	枫木幻杖
1959	Whispering Maple Wand	低语枫木幻杖
1960	Budding Maple Wand	绿叶枫木幻杖
1961	Ash Wand	梣木幻杖
1963	Budding Ash Wand	绿叶梣木幻杖
1965	Whispering Ash Wand	低语梣木幻杖
1967	Yew Wand	紫杉幻杖
1969	Budding Yew Wand	绿叶紫杉幻杖
1971	Budding Oak Wand	绿叶橡木幻杖
1974	Wand of Frost	冰华幻杖
1976	Wand of Tremors	土华幻杖
1978	Wand of Tides	水华幻杖
1981	Wand of Flames	火华幻杖
1983	Wand of Gales	风华幻杖
1985	Wand of Storms	雷华幻杖
1987	Budding Rosewood Wand	绿叶紫檀幻杖
1996	Maple Cane	枫木牧杖
1997	Maple Crook	枫木手杖
1998	Ash Radical	梣木根杖
2000	Elm Cane	榆木牧杖
2002	Elm Crook	榆木手杖
2004	Yew Radical	紫杉根杖
2010	Pastoral Yew Cane	铜铃紫杉牧杖
2011	Yew Crook	紫杉手杖
2015	Walnut Cane	胡桃木牧杖
2021	Plumed Yew Crook	黑羽手杖
2023	Oak Radical	橡木根杖
2026	Pastoral Oak Cane	铜铃橡木牧杖
2030	Sprouting Rosewood Radical	萌芽紫檀根杖
2039	Jade Crook	翡翠手杖
2041	Vintage Cane	古典牧杖
2044	Pastoral Mahogany Cane	铜铃红木牧杖
2047	Tane Mahuta	树灵神
2048	Giantsgall Cane	巨胆牧杖
2049	Madman's Whispering Rod	狂人低语
2051	Alkalurops	七公六杖
2056	Bone Brand	兽骨咒角
2057	Copper Scepter	红铜咒杖
2058	Bronze Scepter	青铜咒杖
2059	Brass Cudgel	黄铜咒锤
2061	Decorated Copper Scepter	黄铜咒杖
2063	Wind Brand	风华咒角
2066	Ice Brand	冰华咒角
2069	Silver Scepter	白银咒杖
2071	Earth Brand	土华咒角
2076	Decorated Silver Scepter	熏银咒杖
2078	Fire Brand	火华咒角
2083	Lightning Brand	雷华咒角
2088	Electrum Scepter	绿金咒杖
